This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202412 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
192607, -99.9900,  12.3656, -99.9900, -20.6349,  -6.4864,  -4.7429,  -4.8812,  15.7276,  -1.6398,  -2.4470,   6.2133,  -2.1277, -16.7032,   9.4840, -99.9900,   3.4492,  -3.7240,  -3.2909,  -3.2603,  14.5930,   0.0000,   3.2699,   4.4284,  -0.1284,  -0.8913, -99.9900,  -1.8286,  -4.5665,  -4.6103,  -0.3000,  -0.3358,   1.3713,   4.5860, -99.9900,  -0.2891,   3.2842,  -0.8748,  -3.9826,  -0.5026,   5.2179,   7.2196,  -4.8072,   1.1801,   2.5257,  -5.4291,   8.9123,   0.9222,   1.4976,   0.9107,  -3.9427,   2.4868,   4.1679,   1.4387,   8.8176,   2.5164,  -3.1127,   0.1861,  10.8420,  -0.7369,  -2.5705,   1.4644,  -0.1567,  -0.4597,   0.7580,   4.1324,   6.5338,   0.9516,  -0.9900,   3.6405,   6.6667,   2.7105,   1.6162,   0.9054,   3.1837,  -0.3353,  -0.0147,  -0.7027,   1.8257,   6.1785,  -7.0707,   9.3112,   1.4838,   2.5728,   1.7340,   0.9794,   1.5647,   5.8094,   1.2732,   0.2578, -99.9900,   3.3411,   1.1820,  19.0161,   1.4227,   1.9459,   2.4834,   2.7332,   3.5356,   0.8576, -99.9900
192608, -99.9900,   2.9904, -99.9900,   8.0000,   6.7495,  -3.5639,  -4.1188,  -1.6529,  -5.3824,   9.6015,  -3.8814,   6.5217,  -2.5905, -11.7706, -99.9900,   2.3482,   0.7807,   4.7806,   4.9269,  16.8810,   9.0909,  -4.6449,  -2.8600,  -3.0610,   5.5264, -99.9900,  -1.9842,   0.6204,   6.2385,  -1.2011,   2.1995,   5.9838,   1.5456, -99.9900,   0.9828,   8.1389,  -3.8629,   5.7688,  17.2964,   7.3463,   0.0000,  -0.6989,   0.5920,   2.6684,   4.3619,   2.2181,   4.1654,   3.5842,   6.7684,  -8.2090,  -0.7572,  -1.9423,   5.3918,  -0.2244,   4.8037,   0.4993,   4.6223,   4.7061,  16.5042,   4.6858,   1.7406,   0.8294,   5.6723,   1.4340,   2.6647,  -2.1007,  -4.0697,   5.6221,   7.2931,   7.1875,   0.5993,   1.8417,   4.0947,   3.3543,   0.8871,   4.4505,   1.8805,   7.2365,   9.9138,  -6.5217,  -0.2964,  -2.1657,   2.4983,   0.2914,   3.1465,   0.1486,   3.3038,   2.9936,   4.1610, -99.9900,   0.2379,   3.9628,   8.5675,   3.0099,   1.1427,   3.0263,   6.7182,   3.2370,  11.2245, -99.9900
192609, -99.9900, -18.5830, -99.9900,  -3.7037,  -5.0512,  -2.1739,  -4.5714, -10.6100,   0.4919,   7.7448,  -3.2288,  -2.5510, -17.4604,   5.1610, -99.9900,  -4.9433,  -4.9881,   1.3569,  -2.5761,  -0.1202,   0.0000,  -7.7301,  -1.0152,   1.3360,   0.2085, -99.9900,   2.7735,  -0.9126,  -7.7273,  -1.4363,   3.1661,  -4.7014,  -4.0766, -99.9900,   0.6955,   2.5148,  -3.9363,  -5.8296,  13.8454,   1.3062,  -2.6032,  -4.8293,  -1.2554,   1.1797,  -1.5038,  -0.0561,   0.0422,   7.4588,  -9.0932,  -0.8130,   2.2610,   0.0357,   0.2465,   1.8412,  -1.7552,  -2.8281,   4.3049,  -1.0069,   0.0080,  -3.7689,  -3.7626,  -8.6612,  -2.6256,   2.9629,  -3.3528,  -1.2375,   2.4704,   2.7003,  -2.9263,  -2.9155,   7.3910,   2.1956,  -1.5888,   0.3785,  -1.1261,  -1.9536,   1.8840,  -0.8549,   5.4902,  10.0775,  -0.7390,  -4.2981,   0.2540,   0.2092,   0.2164,   1.4820,  -2.3225,   0.0998,  -3.9329, -99.9900,  -0.3920,  -1.9836,  10.7849,   0.8073,  -0.9185,   1.0889,  -0.5241,  -0.8665,  -1.0703, -99.9900
192610, -99.9900,  -4.1369, -99.9900, -11.5385,  -5.3996, -17.7778,   3.5554,  -9.2233,  -9.1593,  -1.7461, -12.2657,   5.1309,  -1.2424,  -3.8000, -99.9900,   1.5260,  -4.3566,  14.9297,  -5.9461,   2.3476,  -8.3333,  -7.1247,   5.0883,  -2.1933,   1.3107, -99.9900,  -5.8225, -13.5563,  -1.7750,  -5.9711,  -0.3711,  -1.8877,  -7.6806, -99.9900,  -3.0239, -13.9753, -10.0353,  -5.1270,  15.6581,  -5.4822,  -1.7152,  -5.6603,  -3.7343,  -3.8842,  -2.3652,  -1.7738,  -3.1612,  -4.0211,  -4.9226,  33.6066,  -3.9920,  -8.4624,  -1.4538,   1.2373,   2.2984,   1.4737,  -2.6957,   0.4865,  -7.4346,  -3.0871,  -0.1806,  -2.5685,  -3.0921,  -0.1140,  -2.6638,  -1.5758,  -3.6147,  -4.2995,  -9.6829,  -9.6096,  -5.8282,  -2.8168,  -0.7910,  -3.9582,  -1.4841,  -2.6982,  -2.5735,  -2.6206,  -3.9033,   8.0986,  -2.1656,  -2.9408,  -2.0171,  -3.5704,  -7.1391,  -2.1752,  -2.7883,  -5.1432,  -7.9336, -99.9900,  -4.3200,  -0.6480,  -6.6205,  -0.5337,  -1.5745,  -1.9202,  -5.5678,  -1.8602,  -3.9246, -99.9900
192611, -99.9900,  -8.2589, -99.9900,  34.7826,   1.2296,   0.2027,  -4.8789,  -3.2010,  -1.8459,  -2.5421,   8.6111,  -1.0204, -13.9633,   9.2242, -99.9900,   3.2352,  -8.7248,  -1.1628,   4.6715,  -0.4082,   9.0909, -11.0624,  -1.3834,  -7.8473,   3.3023, -99.9900,  -8.0027,  17.4362,   1.4208,  -0.2638,   8.0437,   5.2725,   3.6250, -99.9900,   3.4817,   1.8242,   8.0026,   3.4692,  -4.0970,   9.8657,   6.5592,   2.2618,   3.4694,   7.5853,   3.6202,  -1.8774,  10.4231,   2.8836,   2.5899, -16.5644,   1.5527,  -0.3960,   3.3360,   3.6326,   4.9476,  -0.7647,   5.7373,   2.9170,   8.2634,   4.2034,  -1.4777,   1.7170,   0.5162,   5.3097,   3.8174,   1.5403,  10.1590,  12.6109,   1.2849,   1.6611,   2.7622,   5.6119,   2.3653,   2.7008,   5.0082,   3.2258,   1.0784,   0.6269,   5.2224,  -0.6515,   5.0819,   4.4418,   2.3443,   6.3855,   2.2986,   8.1999,   3.9526,   3.1785,   1.7381, -99.9900,   6.9978,  -0.0541,   0.4585,   2.9192,   1.1447,   0.8811,   3.9514,   2.3695,   3.2680, -99.9900
192612, -99.9900,   6.8938, -99.9900,  -3.2258,   3.9414,   3.1018,  -3.0395,   0.7547,  -0.9527,  -2.3036,  18.0100,   2.0619,  11.3533,  -5.2896, -99.9900,  -1.1158,   0.9995,   7.1354,  -2.3045,   6.5609,  16.6667,   2.2511,  -5.3106,   9.6696,   3.9027, -99.9900,   1.3215,   6.1106,   4.2840,   6.9644,   0.5907,   4.0606,   3.8679, -99.9900,  -1.3931,   3.8978,   1.4020,   1.8169,   1.9345,   6.6562,   2.9035,  -0.6403,   1.4541,   3.1700,   3.7540,  -0.8660,   1.9147,   1.7714,   1.2813,  10.2941,  -2.7936,  -1.7495,   0.1631,   8.7147,  -2.1708,  -2.0671,   3.2563,   4.5680,   0.9526,   0.8912,   3.9645,   7.0721,   1.5429,   0.6330,  -4.7066,   1.3670,   2.5153,  -2.4093,  -2.5967,   0.3268,   3.1754,   2.4087,   2.0546,   3.9776,   1.4935,   4.7562,   4.1125,   5.7698,   1.2868,   4.9180,   2.5277,   2.3404,   1.6150,   0.8981,   3.5285,   5.5354,   6.7631,   3.7019,   4.5075, -99.9900,   0.6353,   1.9527,   8.2181,   1.5420,   0.3626,   3.0192,   7.2530,   2.5529,   0.6329, -99.9900
192701, -99.9900,  19.7269, -99.9900, -13.3333,  -7.0051, -12.4918,  13.8715,   1.3360,  -7.2595,   5.0303,  -0.6128,   0.0000, -18.3970,  -3.8446, -99.9900,  -2.9071,  -2.2526,   5.3054,   3.4778,   1.2846, -14.2857,  -2.7606,   2.1436,  -8.6939,   0.4501, -99.9900,  -3.5406,   1.2383,   0.9949,  19.4620,   2.1567,   8.3707,  -1.8120, -99.9900,   0.8535,  -2.7226,   0.9165,  -1.0263,  16.3633,  13.5792,  -1.1996,  -6.1926,  -2.3881,   0.3878,  -0.9983,  -0.0119,   3.4148,  -1.3991,   0.8778,  -6.6667,   3.3703,  -2.9519,  -0.8950,   5.5482,  -1.6830,  -0.4574,   1.9564,   5.1437,   5.5692,   2.2826,   7.3930,  -0.3222,   2.3905,   4.3731,   2.4213,  -2.6518,  -0.9416,   0.1061,   5.7291,   9.4463,   4.2248,   1.0188,   1.6147,   0.1870,  -0.3790,  -0.9554,  -0.5396,   2.6342,   8.7114,   7.5000,   1.4260,  -2.6883,   0.8489,  -1.2319,   0.7756,   8.2028,   0.0756,   3.1502,   3.2019, -99.9900,  -2.0340,   0.4719,  -0.5543,   1.2360,  -2.7189,   0.6319,  -0.3365,   3.8166,   5.1118, -99.9900
192702, -99.9900,  11.6603, -99.9900,  15.3846,  -3.4712,  12.1076,  -4.1982,   1.2728,   7.6656,   9.7958,   1.1938,   7.0707, -10.9504,   1.3960, -99.9900,   9.7102,  -0.3553,  11.7472,   6.7907,  14.1612,   0.0000,   2.3452,   1.3641,  11.9488,  15.3751, -99.9900,   4.0868,  -3.0495,   2.2004,   4.0763,   2.8241,   0.3185,   8.3168, -99.9900,   6.6948,   0.8877,   3.9327,   5.6718,  16.5137,  10.2689,   5.9885,   1.2508,   6.1244,   4.4808,   9.4722,   4.2224,   8.1168,   2.9681,   7.4314,  -1.4286,   5.9087,  10.6098,   3.9551,   9.7134,   1.9218,   3.7944,  -0.1402,  13.9339,  15.1573,  17.1283,   5.0307,   7.2598,   6.9882,   5.5864,   4.4498,   0.7130,  10.3386,   1.0378,  10.4549,  23.2143,   8.1970,   2.9835,   1.7897,   3.7112,   0.7760,   3.6841,   6.1458,   7.6817,   9.3489,   7.5581,   4.2551,   6.9688,   5.1730,   2.3086,   1.7960,   1.6898,  13.5100,  10.7835,   4.7506, -99.9900,   4.1773,   0.8746,   9.0932,   3.1698,   4.3508,   3.0109,   3.3825,   2.5264,   7.5988, -99.9900
192703, -99.9900,  15.3235, -99.9900,  46.6667,  -6.2271, -17.8667,  -9.6264,   2.7710, -17.3873,  -3.4112,   6.3237,  -5.6604,   9.9728,  -7.5573, -99.9900,  -2.6917,  -5.3688,  -3.3909,   0.3153,  -3.8372, -16.6667,  -3.5886, -13.0435,   4.7482,  -0.6870, -99.9900,  -8.9589,  -9.6533,   4.4571,  -1.2926,  -5.1629,   1.6254,  -1.3656, -99.9900,  -1.0530,  -6.2755,   5.2375,  -2.2201, -12.9018,   1.9823,   7.7622,  -3.4075,  -4.2256,  -1.6360,  -7.9023,  -2.5359,   3.4740,  -5.4338,  -9.1870,  -2.1739,  -1.3375,   2.2938,  -2.2232,  -8.6820,  -0.8517,   2.1755,  -1.1487,  -3.4532,  -7.3529,  -3.2590,   6.9413,  -7.9160,   0.4676,   7.3314,   5.6383,  -0.0081,  -1.7368,  -2.4510,  -2.2686,   7.7295,  -5.9619,  -0.1920,  -0.8933,  -1.3600,  -3.1360,  -2.6607,   0.2487,  -2.6598,  10.2290,   6.2162,   1.6080,  -1.0020,   0.3472,  -6.1937,   0.0699,   3.9558,  -4.5034,  -5.5728,  -6.5285, -99.9900,   0.8022,   0.1388,   5.1636,   2.2497,  -2.3685,   1.7224,   2.9793,  -2.5717,  -1.5537, -99.9900
192704, -99.9900,   8.8583, -99.9900,   1.1364,  -4.6012,  -7.1429,  -2.7027,   8.1921,  34.4734,   1.0982,   7.7298,   7.4000,  -2.7774,   7.8143, -99.9900,   7.9262,   2.3970,   3.9016,  -0.1223,  10.0348,   5.0000,  -2.3088,  -0.7177,  -3.4872,  -0.2814, -99.9900,  -3.1571,   0.6996,   1.2829,   5.0470,  -5.3158,  -2.1134,  -9.6554, -99.9900,  -1.3117,   2.2253,   0.0763,  -0.3829,  14.0001,   2.7355,   1.7344,  -0.2305,  -1.9439,   0.3130,  -0.1832,  -4.6662,   7.0598,   0.6228,   4.2199,   0.0000,  -5.0806,  -1.4223,   5.1400,   3.7938,  -0.9405,   1.0659,  -0.4249,   2.3457,  10.3464,  -7.0290,  -0.0727,  -5.9572,   1.2630,   2.7556,   5.5955,  -2.7808,   3.7698,   0.1192,   6.7555,  -4.0359,  -0.9431,   1.8503,   5.6546,   0.0337,  -2.0705,  -2.8248,   0.0464,  -3.7265,  11.5169,   5.0891,   2.6969,   1.6559,   2.7788,  -4.1300,   1.3825,  -1.1903,  -2.3640,  -3.7516,  -6.0804, -99.9900,   5.3783,  -1.1282,   5.3440,  -1.4873,  -1.9513,   1.2830,   0.3891,  -0.5963,  -1.4556, -99.9900
