NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Date
0.0078000000000000005,0.0192,0.0113,0.0179,0.0073,0.0166,0.0046,-0.0031,0.0163,0.0179,1970-01-02
0.0062,-0.0019,0.0049,0.0103,0.006999999999999999,0.0241,-0.0022,-0.0015,0.0126,0.0055000000000000005,1970-01-05
-0.0028000000000000004,-0.0131,-0.0083,-0.0103,-0.0046,2e-4,0.0017000000000000001,-0.0043,-0.0101,-0.0108,1970-01-06
0.0014000000000000002,-0.0045000000000000005,-5e-4,-0.0078000000000000005,2e-4,-0.0013,0.0042,9e-4,-0.0036,-0.001,1970-01-07
-0.002,-0.0031,0.0024,-0.003,0.0029,-0.0053,0.0011,0.006500000000000001,0.0018,0.0015,1970-01-08
-0.0037,-0.0077,-0.0017000000000000001,-0.008100000000000001,-0.0016,-2e-4,-7.000000000000001e-4,0.0038,-5e-4,-0.004,1970-01-09
-0.0062,-0.0154,-0.008199999999999999,-0.009399999999999999,-0.0069,-0.0076,-0.006500000000000001,-0.0032,-0.0019,-0.0073,1970-01-12
0.0023,-0.002,-8e-4,-0.0032,0.0125,-0.0031,0.003,0.0025,-0.0014000000000000002,-0.0025,1970-01-13
-0.0025,0.004699999999999999,-0.0029,-0.0069,-0.0023,-1e-4,0.003,0.0024,-0.0072,-0.003,1970-01-14
0.0025,-0.002,2e-4,-0.0066,0.0125,-0.0059,-0.0027,-0.0012,-0.006,-0.0019,1970-01-15
0.0018,-0.0096,-0.0067,-0.0073,-0.026000000000000002,0.001,-0.0022,-0.0022,-0.0027,-0.0085,1970-01-16
-0.0054,-0.0083,-0.012,-0.0046,-0.0379,-0.0087,-0.0115,-0.008199999999999999,-0.0051,-0.012199999999999999,1970-01-19
9e-4,0.0040999999999999995,-6e-4,-0.0014000000000000002,0.0147,-4e-4,-0.0028000000000000004,0.005699999999999999,-0.0021,6e-4,1970-01-20
0.0039000000000000003,0.005600000000000001,0.0024,-0.0017000000000000001,-0.0033,-6e-4,0.003,0.005,-0.0024,-1e-4,1970-01-21
0.0059,-9e-4,0.0014000000000000002,0.0015,7.000000000000001e-4,-0.0101,0.0029,7.000000000000001e-4,0.0018,-1e-4,1970-01-22
-0.0087,-0.011000000000000001,-0.0137,-0.0163,-0.006999999999999999,2e-4,-0.0069,-0.0062,-0.0058,-0.0137,1970-01-23
-0.014199999999999999,-0.0059,-0.0106,-0.0064,-0.0169,-0.0060999999999999995,-0.011200000000000002,-0.022400000000000003,-0.0040999999999999995,-0.0118,1970-01-26
-0.004,-0.0023,-0.0044,-0.008,-0.0066,-0.0096,-0.009300000000000001,-0.0104,-0.005600000000000001,-0.0084,1970-01-27
-0.0052,-0.0084,-0.0032,-0.022099999999999998,-0.011399999999999999,-0.0216,-0.0087,-0.0144,-0.0055000000000000005,-0.004699999999999999,1970-01-28
-0.0113,-0.013999999999999999,-0.0149,-0.0196,-0.0128,0.0038,-0.0118,-0.0154,-0.0060999999999999995,-0.014499999999999999,1970-01-29
-0.0096,-0.0087,-0.0092,-0.0075,-0.0138,0.0095,-0.009399999999999999,-0.008199999999999999,-0.0054,-0.0126,1970-01-30
0.0044,0.0051,0.005,0.0048,0.0207,0.017,0.0083,0.01,0.0092,0.0074,1970-02-02
0.0108,0.0105,0.0165,0.015,0.004699999999999999,0.0054,0.0167,0.020499999999999997,0.0105,0.016,1970-02-03
