NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Date
-0.0424,-0.0825,-0.073,-0.11449999999999999,-0.0906,-0.025699999999999997,-0.0588,-0.0712,-0.042300000000000004,-0.0883,1970-01-01
0.046799999999999994,0.0557,0.051399999999999994,0.0538,0.0294,0.0796,0.052300000000000006,0.055999999999999994,0.0836,0.095,1970-02-01
-0.0078000000000000005,0.0487,-0.0029,-0.0045000000000000005,-0.0258,0.0229,-0.0169,-0.0508,0.0291,-0.019,1970-03-01
-0.1012,-0.0886,-0.0897,-0.0917,-0.1434,-0.08789999999999999,-0.1108,-0.1011,-0.0805,-0.1368,1970-04-01
-0.0745,-0.0645,-0.0751,0.026099999999999998,-0.0955,-0.0375,-0.09449999999999999,-0.07780000000000001,-0.0536,-0.0825,1970-05-01
-0.0147,-0.0415,-0.0481,-0.024700000000000003,-0.1177,-0.0848,-0.04019999999999999,-0.0051,-0.047,-0.0683,1970-06-01
0.0668,0.106,0.051100000000000007,0.1276,0.0235,0.1026,0.1038,0.0216,0.087,0.08039999999999999,1970-07-01
0.014499999999999999,0.08220000000000001,0.0462,0.0654,0.08,0.025099999999999997,0.053399999999999996,0.018000000000000002,0.0467,0.0512,1970-08-01
0.055099999999999996,0.0268,0.0397,0.0319,0.1017,-0.0095,0.0794,0.0803,-0.0052,0.0761,1970-09-01
0.006999999999999999,-0.02,-0.0315,0.0296,-0.035,-0.0375,-0.0168,0.0026,-0.008199999999999999,-0.058899999999999994,1970-10-01
0.0484,0.0696,0.0391,0.0493,0.0405,0.061200000000000004,0.0687,0.0296,0.09390000000000001,0.0387,1970-11-01
0.07429999999999999,0.0616,0.0801,0.0226,0.044000000000000004,0.06849999999999999,0.054000000000000006,0.0537,0.0717,0.0836,1970-12-01
0.048600000000000004,0.0387,0.058499999999999996,0.0034000000000000002,0.053899999999999997,0.0977,0.083,0.049400000000000006,0.029300000000000003,0.0781,1971-01-01
0.0377,0.022400000000000003,0.0125,0.0479,0.027999999999999997,-0.053,0.0364,0.0139,-0.0259,0.0236,1971-02-01
0.0444,0.034300000000000004,0.0409,0.0276,0.0806,0.0070999999999999995,0.0683,0.0368,0.0241,0.059699999999999996,1971-03-01
0.0217,0.0849,0.0426,0.0431,0.0232,0.008199999999999999,0.0496,0.042300000000000004,-0.0354,0.0436,1971-04-01
-0.0302,-0.0426,-0.0225,-0.047400000000000005,-0.061399999999999996,-0.0521,-0.0178,-0.021,-0.037000000000000005,-0.044199999999999996,1971-05-01
-0.0013,-0.0066,0.0039000000000000003,0.0103,-0.0218,0.0104,0.0034999999999999996,0.0202,0.043,-0.012199999999999999,1971-06-01
-0.0213,-0.0555,-0.048799999999999996,-0.0213,-0.0858,-0.0361,-0.035,-0.0225,-0.0213,-0.0385,1971-07-01
0.031,0.1056,0.0636,-0.012,0.056900000000000006,-0.0032,0.061900000000000004,0.0327,-0.0232,0.0702,1971-08-01
-7.000000000000001e-4,-7.000000000000001e-4,-0.0032,-0.016399999999999998,-0.0155,0.0023,0.0073,0.0066,-0.015,-0.0042,1971-09-01
-0.0432,-0.052000000000000005,-0.0603,-0.042800000000000005,-0.0435,-0.0174,-0.0344,-0.025,0.020499999999999997,-0.042,1971-10-01
-0.0034999999999999996,0.0033,-0.009899999999999999,6e-4,0.0177,0.0038,0.0024,0.0058,-0.0121,-0.0023,1971-11-01
0.10529999999999999,0.0613,0.0986,0.08839999999999999,0.1127,0.0736,0.1016,0.079,0.081,0.0819,1971-12-01
0.025,0.0323,0.0322,0.0016,0.08349999999999999,0.009399999999999999,0.0044,0.026000000000000002,-0.003,0.0333,1972-01-01
0.0464,0.0084,0.049800000000000004,0.026099999999999998,0.0189,0.0016,0.0565,0.0713,-0.025,0.0225,1972-02-01
9e-4,0.042300000000000004,0.024900000000000002,-0.0546,0.0109,-0.0032,0.019799999999999998,0.0046,-0.0015,0.023399999999999997,1972-03-01
0.0192,-0.0053,0.0197,-0.0069,0.0076,-0.0105,-0.005600000000000001,0.0108,-0.0281,0.0182,1972-04-01
0.0040999999999999995,-0.01,0.019,0.0365,0.0373,0.011899999999999999,0.0158,0.0352,-0.0017000000000000001,-0.0063,1972-05-01
-0.011399999999999999,-0.0288,-0.0225,-0.0091,-0.0253,-0.0274,-0.0403,0.025099999999999997,-0.0155,-0.0453,1972-06-01
-0.0158,-0.0213,0.0049,-0.010700000000000001,0.0097,0.0075,-0.0246,0.0313,4e-4,-0.029300000000000003,1972-07-01
-0.0011,0.0378,0.0229,0.12380000000000001,0.028399999999999998,0.0516,-0.0040999999999999995,0.0105,0.0596,0.0361,1972-08-01
-0.0262,-0.0089,-0.012199999999999999,-0.0024,-0.0115,0.0431,-0.005,-0.0044,0.0019,-0.0172,1972-09-01
0,-0.024399999999999998,0.0115,0.031,-0.0334,0.023,0.0088,0.0151,0.0675,0.011399999999999999,1972-10-01
